RSO Name,Committee,Requested,Final Allocation
COUP,pcc,120900.0,122000.0
MAB,pcc,346039.0,252830.07
WHPK,pcc,56021.72,21668.9
Doc Films,pcc,58929.9,49919.11
Fire Escape Films,pcc,39394.79,29039.6
University Theatre,pcc,74200.0,54901.69
UChicago Chess Club,cat,30000.0,24000.0
College Bowl Team,cat,41500.0,33425.0
Chicago Debate Society,cat,126186.0,111586.0
Mock Trial Team,cat,52500.0,52500.0
"Model United Nations Team, U of C",cat,82366.39,72805.82
Moot Court Team,cat,45080.0,42080.0
Bridge Club,cat,26260.0,23634.0
Ethics Bowl,cat,14035.49,7075.22
UChicago Robotics,cat,38425.0,35169.85
A Cappella Council,sgfc,,2116.27
Active Minds at the University of Chicago,sgfc,,1628.88
African and Caribbean Students Association,sgfc,,2234.05
Allied Scholars for Animal Protection UChicago,sgfc,,750.0
American Constitution Society,sgfc,,5699.5
Animal Legal Defense Fund - The University of Chicago Law School,sgfc,,770.0
Ankara Magic,sgfc,,425.0
Apsara,sgfc,,2631.18
Arab Student Association,sgfc,,2317.36
Argentine Tango Club,sgfc,,4274.44
Armenian Students Association,sgfc,,3431.48
Asian American InterVarsity,sgfc,,1643.29
Asian Pacific American Medical Students Association,sgfc,,1236.08
Association for Women in Mathematics,sgfc,,783.09
Baha'i Association of the University of Chicago,sgfc,,805.0
Ballroom and Latin Dance Association,sgfc,,4563.15
Bite Culinary Magazine,sgfc,,2037.75
Black Action in Public Policy Studies,sgfc,,2420.0
Black Law Students Association,sgfc,,7024.53
Black Student Fellowship,sgfc,,563.5
BlackGen Capital,sgfc,,750.0
Blacklight Magazine,sgfc,,1419.0
Blue Chips,sgfc,,1035.0
Brazilian Student Association,sgfc,,1655.0
Bridge Club,sgfc,,2377.5
Business Organization for Latino Development,sgfc,,950.0
Cadenza,sgfc,,1544.81
Campus Catalyst,sgfc,,937.0
Cana,sgfc,,4321.63
Catcher in the Rhyme,sgfc,,425.0
Catholic Students Association,sgfc,,3890.52
Chabad,sgfc,,8266.5
Chemistry Society (Benzene),sgfc,,1605.0
Chicago Economics Forum,sgfc,,3623.5
Chicago Italian Appreciation Organization,sgfc,,1270.0
Chicago Journal of Foreign Policy,sgfc,,1820.0
Chicago Journal of Sociology,sgfc,,1112.0
Chicago Justice Initiative,sgfc,,1435.2
Chicago Linguistic Society,sgfc,,4172.14
Chicago Shady Dealer,sgfc,,1733.88
Chicago Swing Dance Society,sgfc,,3276.71
Chinese Student Christian Fellowship,sgfc,,7209.5
Chinese Students and Scholars Association,sgfc,,15449.57
Chinese Undergraduate Students Association,sgfc,,5736.5
Christians on Campus,sgfc,,3827.1
College Fed Challenge Team,sgfc,,1350.0
College Republicans,sgfc,,1539.98
Colombians at UChicago,sgfc,,580.0
CS Student Activities Council,sgfc,,3417.65
Dance Council,sgfc,,5982.63
Dear Asian Youth,sgfc,,3955.45
Defenders,sgfc,,850.0
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,sgfc,,4685.28
Derivatives Group,sgfc,,1884.78
Dirt Red Brass Band,sgfc,,581.0
DoGS Lunch,sgfc,,3208.0
East African Student Association,sgfc,,1609.46
Eckhart Consulting,sgfc,,561.0
Emergency Medical Services,sgfc,,3860.83
Engineering Society,sgfc,,750.0
