Account,Beginning Balance,Allocated 25-26,Expenditures 25-26,Ending Balance,Allocated 26-27
SGFC,0.0,827000.0,823364.95,3635.05,818574.15
PCC,13000.12,536000.0,530359.37,18640.75,551839.0
CAT,3362.71,402275.89,402275.89,3362.71,430000.0
SCF,4643.23,195000.0,195575.08,4068.15,220000.0
CSF,0.0,67500.0,53925.85,13574.15,53925.85
USG Admin,33228.36,15641.0,24690.21,24179.15,23000.0
COMSA,0.0,5000.0,3770.0,1230.0,2500.0
CORSO,0.0,4000.0,4000.0,0.0,4000.0
SAO,0.0,4000.0,1647.24,2352.76,3433.0
CC,1000.0,1000.0,460.63,1539.37,1000.0
