RSO Name,Committee,Requested,Final Allocation
COUP,pcc,120900.0,122000.0
MAB,pcc,346039.0,252830.07
WHPK,pcc,56021.72,21668.9
Doc Films,pcc,58929.9,49919.11
Fire Escape Films,pcc,39394.79,29039.6
University Theatre,pcc,74200.0,54901.69
UChicago Chess Club,cat,30000.0,24000.0
College Bowl Team,cat,41500.0,33425.0
Chicago Debate Society,cat,126186.0,111586.0
Mock Trial Team,cat,52500.0,52500.0
"Model United Nations Team, U of C",cat,82366.39,72805.82
Moot Court Team,cat,45080.0,42080.0
Bridge Club,cat,26260.0,23634.0
Ethics Bowl,cat,14035.49,7075.22
UChicago Robotics,cat,38425.0,35169.85
A Cappella Council,sgfc,3147.0,2116.27
Active Minds at the University of Chicago,sgfc,3230.0,1628.88
African and Caribbean Students Association,sgfc,7605.17,2234.05
Allied Scholars for Animal Protection UChicago,sgfc,2575.0,750.0
American Constitution Society,sgfc,19125.0,5699.5
Animal Legal Defense Fund - The University of Chicago Law School,sgfc,5520.0,770.0
Ankara Magic,sgfc,725.0,425.0
Apsara,sgfc,4148.83,2631.18
Arab Student Association,sgfc,11804.34,2317.36
Argentine Tango Club,sgfc,11206.0,4274.44
Armenian Students Association,sgfc,7106.0,3431.48
Asian American InterVarsity,sgfc,9850.0,1643.29
Asian Pacific American Medical Students Association,sgfc,6014.07,1236.08
Association for Women in Mathematics,sgfc,3300.0,783.09
Baha'i Association of the University of Chicago,sgfc,1030.0,805.0
Ballroom and Latin Dance Association,sgfc,11635.0,4563.15
Bite Culinary Magazine,sgfc,7050.0,2037.75
Black Action in Public Policy Studies,sgfc,3640.0,2420.0
Black Law Students Association,sgfc,54985.98,7024.53
Black Student Fellowship,sgfc,1427.0,563.5
BlackGen Capital,sgfc,1900.0,750.0
Blacklight Magazine,sgfc,1469.0,1419.0
Blue Chips,sgfc,6020.0,1035.0
Brazilian Student Association,sgfc,2820.0,1655.0
Bridge Club,sgfc,16500.0,2377.5
Business Organization for Latino Development,sgfc,3400.0,950.0
Cadenza,sgfc,1611.51,1544.81
Campus Catalyst,sgfc,3377.0,937.0
Cana,sgfc,10652.23,4321.63
Catcher in the Rhyme,sgfc,425.0,425.0
Catholic Students Association,sgfc,13692.0,3890.52
Chabad,sgfc,24800.0,8266.5
Chemistry Society (Benzene),sgfc,3095.0,1605.0
Chicago Economics Forum,sgfc,37170.0,3623.5
Chicago Italian Appreciation Organization,sgfc,2985.0,1270.0
Chicago Journal of Foreign Policy,sgfc,4985.0,1820.0
Chicago Journal of Sociology,sgfc,3214.0,1112.0
Chicago Justice Initiative,sgfc,7695.0,1435.2
Chicago Linguistic Society,sgfc,7401.89,4172.14
Chicago Shady Dealer,sgfc,4089.88,1733.88
Chicago Swing Dance Society,sgfc,8464.0,3276.71
Chinese Student Christian Fellowship,sgfc,28700.0,7209.5
Chinese Students and Scholars Association,sgfc,59900.0,15449.57
Chinese Undergraduate Students Association,sgfc,9119.0,5736.5
Christians on Campus,sgfc,9831.0,3827.1
College Republicans,sgfc,10135.0,1539.98
Colombians at UChicago,sgfc,4700.0,580.0
CS Student Activities Council,sgfc,13519.0,3417.65
Dance Council,sgfc,10098.0,5982.63
Dear Asian Youth,sgfc,14830.0,3955.45
Defenders,sgfc,5960.0,850.0
