Accounts,Beginning Balance (before 25/26),Allocated (for 25/26 year),Expenditures (for 25/26 year),Ending Balance (after 25/26 year),Allocated 26-27
SGFC,$0.00,"$827,000.00","$823,364.95","$3,635.05","$818,574.15"
PCC,"$13,000.12","$536,000.00","$530,359.37","$18,640.75","$551,839.00"
CAT,"$3,362.71","$402,275.89","$402,275.89","$3,362.71","$430,000.00"
SCF,"$4,643.23","$195,000.00","$195,575.08","$4,068.15","$220,000.00"
CSF,$0.00,"$67,500.00","$53,925.85","$13,574.15","$53,925.85"
USG Admin,"$33,228.36","$15,641.00","$29,616.35","$19,253.01","$23,000.00"
COMSA,$0.00,"$5,000.00","$3,770.00","$1,230.00","$2,500.00"
CORSO,$0.00,"$4,000.00","$4,000.00",$0.00,"$4,000.00"
SAO,$0.00,"$4,000.00","$1,647.24","$2,352.76","$3,433.00"
CC,"$1,000.00","$1,000.00",$460.63,"$1,539.37","$1,000.00"
