RSO Name,Request Description,Type,Requested,Final Allocation
Alpha Kappa Psi (Beta Epsilon),Brunch with Booth Speakers,Event,1500.0,999.0
Alpha Kappa Psi (Beta Epsilon),Professional Speaker Series,Event,2000.0,0.0
Alpha Kappa Psi (Beta Epsilon),New Member Recruitment Info Sessions and Events (Part 1),Event,1500.0,0.0
Alpha Kappa Psi (Beta Epsilon),Stock Pitch Competition,Event,1500.0,0.0
Alpha Kappa Psi (Beta Epsilon),UNITY Programming,Event,2500.0,0.0
Dirt Red Brass Band,UNITY Programming,Capital,109.0,109.0
High Fidelity Music Collective,Lunch and Listen,Event,2450.0,200.0
Argentine Tango Club,Summer Workshops,Event,2915.0,0.0
Argentine Tango Club,Concert with Winnie Quartet,Event,2247.0,2247.0
Women in Science,STEM Soiree,Event,350.0,350.0
Paul Douglas Institute,RSO Fair & Information Sessions,Event,408.98,320.82
Meditation and Buddhist Groups of UChicago,Cushion,Capital,1000.0,1000.0
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,Grand Chapter Congress,Travel,1745.0,1495.0
United Against Inequities in Disease,Community Block Party,Event,850.0,850.0
Argentine Tango Club,Tango Workshops,Event,2000.0,1325.0
Argentine Tango Club,Milonga and Workshop,Event,,636.75
University Ministry of Christ Church Chicago,Summer Supper & Scripture,Event,1112.71,112.71
Dirt Red Brass Band,Capital Request: Bass Drum,Capital,630.49,630.49
Community Health Initiative,Englewood Health Fair,Event,1339.53,1339.53
UChicago Computational Biology Outreach,South Side Science Festival,Event,211.74,211.74
SEVA Free Clinic,SEVA Free Clinic Weekly Clinics Transportation,Event,1500.0,1162.5
African and Caribbean Students Association,Seventh Annual Black Welcome Reception,Event,2226.5,2226.5
Blockchain Chicago,Week 1 Kickoff & Interest Capture,Event,434.8,404.8
UChicago Synapse,Beyond a Mammogram Hyde Park 5K,Event,839.6,839.6
Society of Asian Scientists and Engineers,STEM Connect25 Collegiate Conference,Travel,4221.15,2500.0
Project V Solutions Consulting,New Member Networking,Event,541.09,541.09
Organization of Black Students,7th Annual Black Welcome Ceremony,Event,2275.0,968.5
Promontory Investment Research,Emerging Markets & LatAm Panelist Speaker Event,Event,2799.0,1197.0
Black Action in Public Policy Studies,Tech and Media Needs,Subscription,620.0,0.0
Black Action in Public Policy Studies,BAPPS Welcome Event,Event,500.0,240.0
Latino Medical Student Association,LMSA Social Rounds,Event,480.0,0.0
Meditation and Buddhist Groups of UChicago,10/9 and 10/10 Dharma Presentation by Ben Connelly,Event,960.0,270.0
Hindu Sangam,Damodar Aarti Funding Request,Event,425.4,425.4
CityStep UChicago,CityStep Curriculum Planning,Event,162.03,162.03
Dear Asian Youth,Family Outing - Q1,Event,840.0,0.0
Latino Medical Student Association,LMSA Social Rounds,Event,480.0,0.0
Latino Medical Student Association,LMSA Transition Meeting,Event,360.0,0.0
NEURO Club,Third Annual Halloween Trial,Event,641.0,641.0
Pep Band,Football Game (Nov 1st),Event,200.0,200.0
Phoenix Farms,Funding Request for Phoenix Farms Fall Festival,Event,606.69,606.69
The Ransom Notes,Ransom Notes Donut Fundraiser,Event,197.99,197.99
The University of Chicago Glee Club,Autumn Concert (Director Payment),Other,4000.0,2650.0
Voices in Your Head,Fall Invitational Concert,Event,2059.92,1788.0
Writers' Workshop,Funding Request for UChicago Writers' Workshop Write-In Events,Event,450.0,400.0
Midwave Radio,Get to the Point! Inaugural Bonfire,Event,121.32,0.0
The University of Chicago Chapter of Partners in Health Engage,2025 Kickoff Meeting,Event,110.0,0.0
International Student Organization,International Students Organization,Event,800.0,0.0
Tennis Club,Tennis Tournament at Washington University in St. Louis,Travel,3076.88,0.0
Latino Medical Student Association,LMSA Social Rounds,Event,480.0,0.0
Black Action in Public Policy Studies,Study Buddies,Event,305.43,0.0
Latino Medical Student Association,LMSA Transition Meeting,Event,360.0,0.0
Latino Medical Student Association,LMSA Social Rounds,Event,480.0,0.0
Dear Asian Youth,Family Outing - Q1,Event,840.0,0.0
University of Chicago Undergraduate Law Magazine,Volume Release/Operations Cost,Publication,6329.5,0.0
Midwave Radio,Spiders and Cobbwebs,Event,1381.0,0.0
Ballroom and Latin Dance Association,Purdue Ballroom Classic,Travel,2390.0,2187.0
Singapore Society,Day Trip to Chicago Premium Outlet,Travel,500.0,0.0
UChicago Harm Reduction Project,The Next Steps in Harm Reduction: Perspectives from Advocates and Organizers,Event,257.5,257.5
Midway Ventures,VC Social,Event,498.0,270.0
Tennis Club,2025 Badger Classic @ UW Madison,Travel,4533.28,3102.27
Midway Ventures,Midway Vecture: Vecture Capital Seminar,Event,2248.0,568.0
Game Music Ensemble,Game Music Ensemble Fall Concert Funds,Event,886.08,660.88
Game Music Ensemble,GME Drum Kit,Capital,1292.88,892.88
Black Action in Public Policy Studies,BAPPS Fall Quarter Social Activity,Event,336.5,231.5
Dear Asian Youth,Family Outing - Q1 (second iteration),Event,840.0,0.0
Furries at UChicago,Midwest Furfest Convention,Other,765.0,660.0
International Student Organization,ISO Cultural Night: Voices and Vibrance,Event,800.0,800.0
Math Club,Math Club Grad Student Q&A Panel,Event,306.0,85.0
OUTPatient,LGBTQ+ Cross School Mixer,Event,390.5,390.5
UChicago Computational Biology Outreach,Funding request to provide lunch for teacher training meeting,Event,300.0,300.0
UChicago Maya Dance Company,Maya Presents: Smoke and Mirrors,Capital,2400.69,2000.0
UChicagOrigami,Origamist Jason Schneider Speaker Event,Event,125.0,125.0
University Ballet of Chicago,Giselle costumes,Capital,1803.13,1803.13
Argentine Tango Club,Guided Practica and Advanced Workshops,Event,5000.0,0.0
Alpha Phi Omega,APO Centennial National Convention,Travel,922.4,922.4
Oeconomica,2026 Econometrics Game,Event,16240.18,8252.18
Women in Science,Dinner with the Dean,Event,500.0,376.98
Organization of Black Students,Request for Community Events Funding,Event,1473.68,90.0
College Fed Challenge Team,2025 College Fed Challenge National Finals Event - Request for Funding for Travel and Hotel,Travel,6300.0,3543.25
Meditation and Buddhist Groups of UChicago,"Rice Seedling Sutra Teaching and Q&A with Tibetan teacher, Khentrul Jurme Dorje",Event,600.0,0.0
Muslim Students Association,Prophetic Lessons for Modern Life,Event,3690.0,1400.0
Science Olympiad,Science Olympiad - Division B Funding Request,Event,5807.0,0.0
Science Olympiad,Science Olympiad - Division C Funding Request,Event,5277.0,0.0
Science Olympiad,Science Olympiad Socials,Event,900.0,0.0
Science Olympiad,Science Olympiad Club Meetings,Event,150.0,0.0
South Asian Students’ Association,SASA Family Program,Event,1650.0,1619.92
"Kheyal, Bengali Student Association",Bengali Year End Cultural Event Celebration (Makar Sankranti and Bôṛdin),Event,4008.48,2963.97
AI @ UChicago,CS123 Introduction to Building AI enabled Robots,Capital,3020.63,2000.0
American Medical Student Association,Pritzker Formal 2026,Event,23157.75,0.0
Arab Student Association,Funding Request For Kunafa and Karaoke Cultural Activity,Event,305.0,204.0
Edge Entrepreneurship,UChicago Edge Downtown Startup Speaker Visit,Event,528.0,0.0
